Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
84	:	1759167268.006	    91.328	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal83 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal83.out 2> timings_z1.0/gal83.time
106	:	1759167318.794	    42.047	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal105 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal105.out 2> timings_z1.0/gal105.time
120	:	1759167337.903	    25.545	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal119 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal119.out 2> timings_z1.0/gal119.time
114	:	1759167327.790	    36.302	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal113 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal113.out 2> timings_z1.0/gal113.time
95	:	1759167300.845	    63.345	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal94 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal94.out 2> timings_z1.0/gal94.time
118	:	1759167334.673	    30.480	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal117 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal117.out 2> timings_z1.0/gal117.time
124	:	1759167340.710	    26.134	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal123 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal123.out 2> timings_z1.0/gal123.time
82	:	1759167248.297	   118.578	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal81 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal81.out 2> timings_z1.0/gal81.time
58	:	1759167211.615	   155.542	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal57 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal57.out 2> timings_z1.0/gal57.time
49	:	1759167211.593	   156.712	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal48 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal48.out 2> timings_z1.0/gal48.time
110	:	1759167322.142	    46.364	0	0	0	0	/usr/bin/time -v python interpolating_for_gas_particles.py gal109 firebox 1.0 luminosity_from_luminosity_per_mass_by_dividing_to_4pi > timings_z1.0/gal109.out 2> timings_z1.0/gal109.time
